58
Ice          0.333	0.296	0.286	0.286	0.333	0.286	0.29	0.308	0.286	0.286	0.192	0.154	0.192	0.115	0.111	0.0	0.143	0.107	0.258	0.136	0.136	0.174	0.174	0.231	0.231	0.333	0.3	0.263	0.35	0.35	0.75	0.75	0.6	0.556	0.393	0.37	0.583	0.55	0.444	0.5	0.5	0.45	0.524	0.524	0.524	0.524	0.55	0.5	0.526	0.526	0.526	0.524	0.55	0.571	0.593	0.619	0.389	0.389
FO          0.25	0.24	0.2	0.24	0.292	0.24	0.25	0.292	0.269	0.269	0.12	0.12	0.16	0.154	0.038	0.143	0.0	0.037	0.3	0.182	0.182	0.182	0.182	0.32	0.32	0.3	0.263	0.222	0.316	0.316	0.714	0.714	0.556	0.5	0.407	0.385	0.583	0.55	0.444	0.5	0.5	0.45	0.5	0.524	0.524	0.524	0.55	0.5	0.526	0.526	0.526	0.5	0.526	0.55	0.577	0.619	0.389	0.389
Nor          0.25	0.24	0.2	0.24	0.292	0.24	0.241	0.292	0.269	0.269	0.12	0.12	0.16	0.154	0.074	0.107	0.037	0.0	0.267	0.182	0.182	0.182	0.182	0.32	0.32	0.3	0.263	0.222	0.316	0.316	0.714	0.714	0.556	0.5	0.407	0.385	0.583	0.55	0.444	0.5	0.5	0.45	0.5	0.524	0.524	0.524	0.55	0.5	0.526	0.526	0.526	0.5	0.526	0.55	0.577	0.619	0.389	0.389
Blg          0.28	0.296	0.321	0.286	0.37	0.321	0.29	0.32	0.267	0.267	0.296	0.259	0.296	0.286	0.276	0.258	0.3	0.267	0.0	0.125	0.125	0.167	0.125	0.333	0.333	0.333	0.3	0.263	0.333	0.333	0.75	0.75	0.556	0.5	0.276	0.379	0.542	0.524	0.45	0.476	0.476	0.429	0.476	0.524	0.524	0.524	0.55	0.5	0.526	0.526	0.526	0.476	0.55	0.476	0.654	0.619	0.4	0.4
SC          0.273	0.273	0.261	0.261	0.348	0.261	0.304	0.238	0.167	0.167	0.227	0.182	0.227	0.136	0.182	0.136	0.182	0.182	0.125	0.0	0.0	0.087	0.043	0.25	0.25	0.35	0.316	0.35	0.381	0.381	0.778	0.778	0.6	0.556	0.333	0.35	0.5	0.474	0.421	0.45	0.421	0.45	0.524	0.474	0.474	0.474	0.5	0.438	0.471	0.471	0.471	0.524	0.588	0.5	0.619	0.556	0.368	0.368
Slo          0.273	0.273	0.261	0.261	0.348	0.261	0.304	0.238	0.167	0.167	0.227	0.182	0.227	0.136	0.182	0.136	0.182	0.182	0.125	0.0	0.0	0.087	0.043	0.25	0.25	0.35	0.316	0.35	0.381	0.381	0.778	0.778	0.6	0.556	0.333	0.35	0.5	0.474	0.421	0.45	0.421	0.45	0.524	0.474	0.474	0.474	0.5	0.438	0.471	0.471	0.471	0.524	0.588	0.5	0.619	0.556	0.368	0.368
Po          0.238	0.238	0.227	0.227	0.348	0.227	0.304	0.238	0.167	0.167	0.227	0.182	0.227	0.174	0.182	0.174	0.182	0.182	0.167	0.087	0.087	0.0	0.043	0.25	0.25	0.35	0.316	0.35	0.381	0.381	0.778	0.778	0.6	0.556	0.333	0.35	0.5	0.474	0.421	0.45	0.421	0.45	0.524	0.474	0.474	0.474	0.5	0.438	0.471	0.471	0.471	0.524	0.588	0.5	0.619	0.556	0.368	0.368
Rus          0.273	0.273	0.261	0.261	0.348	0.261	0.304	0.238	0.167	0.167	0.227	0.182	0.227	0.174	0.182	0.174	0.182	0.182	0.125	0.043	0.043	0.043	0.0	0.25	0.25	0.35	0.316	0.35	0.381	0.381	0.778	0.778	0.6	0.556	0.333	0.35	0.5	0.474	0.421	0.45	0.421	0.45	0.524	0.474	0.474	0.474	0.5	0.438	0.471	0.471	0.471	0.524	0.588	0.5	0.619	0.556	0.368	0.368
Ir          0.36	0.385	0.407	0.37	0.333	0.37	0.393	0.333	0.36	0.36	0.304	0.292	0.333	0.25	0.32	0.231	0.32	0.32	0.333	0.25	0.25	0.25	0.25	0.0	0.0	0.381	0.35	0.316	0.4	0.4	0.75	0.75	0.6	0.556	0.37	0.346	0.5	0.526	0.412	0.474	0.474	0.421	0.524	0.571	0.571	0.571	0.526	0.5	0.5	0.5	0.5	0.5	0.6	0.55	0.6	0.6	0.353	0.353
Wel          0.36	0.385	0.407	0.37	0.333	0.37	0.393	0.333	0.36	0.36	0.304	0.292	0.333	0.25	0.32	0.231	0.32	0.32	0.333	0.25	0.25	0.25	0.25	0.0	0.0	0.381	0.35	0.316	0.4	0.4	0.75	0.75	0.6	0.556	0.37	0.346	0.5	0.526	0.412	0.474	0.474	0.421	0.524	0.571	0.571	0.571	0.526	0.5	0.5	0.5	0.5	0.5	0.6	0.55	0.6	0.6	0.353	0.353
